Trial,ERS_ID,Label
T1,ERS4516182,1
T1,ERS4516184,1
T1,ERS4516187,1
T1,ERS4516188,1
T1,ERS4516191,1
T1,ERS4516192,1
T1,ERS4516194,1
T1,ERS4516196,1
T1,ERS4516197,1
T1,ERS4516199,1
T1,ERS4516201,1
T1,ERS4516672,1
T1,ERS4516680,1
T1,ERS4516683,1
T1,ERS4516687,1
T1,ERS4516690,1
T1,ERS4516695,1
T1,ERS4516696,1
T1,ERS4516698,1
T1,ERS4516701,1
T1,ERS4516702,1
T1,ERS4516704,1
T1,ERS4516707,1
T1,ERS4516710,1
T1,ERS4516712,1
T1,ERS4516715,1
T1,ERS4516718,1
T1,ERS4516721,1
T1,ERS4516724,1
T1,ERS4516727,1
T1,ERS4516730,1
T1,ERS4516732,1
T1,ERS4516735,1
T1,ERS4516738,1
T1,ERS4516742,1
T1,ERS4516744,1
T1,ERS4516746,1
T1,ERS4516748,1
T1,ERS4516750,1
T1,ERS4516762,1
T1,ERS4516763,1
T1,ERS4516766,1
T1,ERS4516770,1
T1,ERS4516772,1
T1,ERS4516773,1
T1,ERS4516774,1
T1,ERS4516775,1
T1,ERS4516776,1
T1,ERS4516777,1
T1,ERS4516778,1
T1,ERS4516779,1
T1,ERS4516780,1
T1,ERS4516781,1
T1,ERS4516783,1
T1,ERS4516788,1
T1,ERS4516791,1
T1,ERS4516795,1
T1,ERS4516797,1
T1,ERS4516805,1
T1,ERS4516807,1
T1,ERS4516812,1
T1,ERS4516817,1
T1,ERS4516825,1
T1,ERS4516833,1
T1,ERS4516839,1
T1,ERS4516849,1
T1,ERS4518593,1
T1,ERS4518594,1
T1,ERS4518595,1
T1,ERS4518596,1
T1,ERS4518597,1
T1,ERS4518598,1
T1,ERS4518599,1
T1,ERS4518600,1
T1,ERS4518601,1
T1,ERS4518603,1
T1,ERS4518604,1
T1,ERS4518605,1
T1,ERS4518606,1
T1,ERS4518607,1
T1,ERS4518608,1
T1,ERS4518609,1
T1,ERS4518610,1
T1,ERS4518611,1
T1,ERS4518612,1
T1,ERS4518613,1
T1,ERS4518614,1
T1,ERS4518654,1
T1,ERS4518655,1
T1,ERS4518656,1
T1,ERS4518657,1
T1,ERS4518658,1
T1,ERS4518659,1
T1,ERS4518660,1
T1,ERS4518661,1
T1,ERS4518662,1
T1,ERS4518663,1
T1,ERS4518664,1
T1,ERS4518665,1
T1,ERS4518666,1
T1,ERS4518705,1
T1,ERS4518706,1
T1,ERS4518707,1
T1,ERS4518708,1
T1,ERS4518709,1
T1,ERS4518710,1
T1,ERS4518711,1
T1,ERS4518712,1
T1,ERS4518713,1
T1,ERS4518746,1
T1,ERS4518747,1
T1,ERS4519007,1
T1,ERS4519008,1
T1,ERS4519009,1
T1,ERS4519010,1
T1,ERS4519011,1
T1,ERS4519012,1
T1,ERS4519013,1
T1,ERS4519014,1
T1,ERS4519015,1
T1,ERS4519016,1
T1,ERS4519017,1
T1,ERS4519018,1
T1,ERS4519019,1
T1,ERS4519041,1
T1,ERS4519042,1
