Trial,ERS_ID,Label
T3,ERS4516186,1
T3,ERS4516190,1
T3,ERS4516674,1
T3,ERS4516675,1
T3,ERS4516681,1
T3,ERS4516685,1
T3,ERS4516689,1
T3,ERS4516692,1
T3,ERS4516700,1
T3,ERS4516703,1
T3,ERS4516705,1
T3,ERS4516709,1
T3,ERS4516714,1
T3,ERS4516717,1
T3,ERS4516719,1
T3,ERS4516723,1
T3,ERS4516726,1
T3,ERS4516729,1
T3,ERS4516734,1
T3,ERS4516737,1
T3,ERS4516740,1
T3,ERS4516756,1
T3,ERS4516765,1
T3,ERS4516768,1
T3,ERS4516782,1
T3,ERS4516785,1
T3,ERS4516790,1
T3,ERS4516793,1
T3,ERS4516799,1
T3,ERS4516809,1
T3,ERS4516814,1
T3,ERS4516819,1
T3,ERS4516823,1
T3,ERS4516830,1
T3,ERS4516835,1
T3,ERS4516841,1
T3,ERS4516845,1
T3,ERS4516851,1
T3,ERS4518626,1
T3,ERS4518627,1
T3,ERS4518628,1
T3,ERS4518629,1
T3,ERS4518630,1
T3,ERS4518631,1
T3,ERS4518632,1
T3,ERS4518633,1
T3,ERS4518634,1
T3,ERS4518635,1
T3,ERS4518636,1
T3,ERS4518683,1
T3,ERS4518684,1
T3,ERS4518685,1
T3,ERS4518686,1
T3,ERS4518687,1
T3,ERS4518688,1
T3,ERS4518689,1
T3,ERS4518690,1
T3,ERS4518719,1
T3,ERS4518720,1
T3,ERS4518721,1
T3,ERS4518722,1
T3,ERS4518723,1
T3,ERS4518724,1
T3,ERS4518725,1
T3,ERS4518756,1
T3,ERS4519025,1
T3,ERS4519026,1
T3,ERS4519027,1
T3,ERS4519028,1
T3,ERS4519029,1
T3,ERS4519124,1
T3,ERS4519125,1
T3,ERS4519126,1
T3,ERS4519127,1
T3,ERS4519128,1
T3,ERS4519129,1
T3,ERS4519130,1
T3,ERS4519131,1
T3,ERS4519132,1
T3,ERS4519133,1
T3,ERS4519134,1
T3,ERS4519135,1
T3,ERS4519136,1
T3,ERS4519137,1
T3,ERS4519138,1
T3,ERS4519139,1
T3,ERS4519140,1
T3,ERS4519141,1
T3,ERS4519142,1
T3,ERS4519143,1
T3,ERS4519144,1
T3,ERS4519145,1
T3,ERS4519146,1
T3,ERS4519147,1
T3,ERS4519148,1
T3,ERS4519149,1
T3,ERS4519269,1
T3,ERS4519270,1
T3,ERS4519271,1
T3,ERS4519272,1
T3,ERS4519273,1
T3,ERS4519274,1
T3,ERS4519275,1
T3,ERS4519276,1
T3,ERS4519277,1
T3,ERS4519278,1
T3,ERS4519279,1
T3,ERS4519280,1
T3,ERS4519281,1
T3,ERS4516636,0
T3,ERS4516637,0
T3,ERS4516638,0
T3,ERS4516639,0
T3,ERS4516640,0
T3,ERS4516641,0
T3,ERS4516642,0
T3,ERS4516643,0
T3,ERS4516644,0
T3,ERS4516645,0
T3,ERS4516646,0
T3,ERS4516647,0
T3,ERS4516648,0
T3,ERS4516649,0
T3,ERS4516650,0
T3,ERS4516651,0
T3,ERS4516652,0
T3,ERS4516653,0
T3,ERS4516654,0
T3,ERS4516655,0
T3,ERS4516656,0
T3,ERS4516657,0
T3,ERS4516658,0
T3,ERS4516659,0
T3,ERS4516660,0
T3,ERS4516661,0
T3,ERS4516662,0
T3,ERS4516663,0
T3,ERS4516664,0
T3,ERS4516665,0
T3,ERS4516666,0
T3,ERS4516667,0
T3,ERS4516668,0
T3,ERS4516669,0
T3,ERS4516670,0
T3,ERS4516671,0
T3,ERS4518583,0
T3,ERS4518584,0
T3,ERS4518585,0
T3,ERS4518586,0
T3,ERS4518587,0
T3,ERS4518588,0
T3,ERS4519203,0
T3,ERS4519204,0
T3,ERS4519205,0
T3,ERS4519206,0
T3,ERS4519207,0
T3,ERS4519208,0
T3,ERS4519209,0
T3,ERS4519210,0
T3,ERS4519211,0
