Trial,ERS_ID,Label
T2,ERS4516183,1
T2,ERS4516185,1
T2,ERS4516189,1
T2,ERS4516193,1
T2,ERS4516195,1
T2,ERS4516198,1
T2,ERS4516200,1
T2,ERS4516673,1
T2,ERS4516684,1
T2,ERS4516688,1
T2,ERS4516691,1
T2,ERS4516697,1
T2,ERS4516699,1
T2,ERS4516708,1
T2,ERS4516711,1
T2,ERS4516713,1
T2,ERS4516716,1
T2,ERS4516722,1
T2,ERS4516725,1
T2,ERS4516728,1
T2,ERS4516731,1
T2,ERS4516733,1
T2,ERS4516736,1
T2,ERS4516739,1
T2,ERS4516743,1
T2,ERS4516745,1
T2,ERS4516747,1
T2,ERS4516749,1
T2,ERS4516751,1
T2,ERS4516755,1
T2,ERS4516758,1
T2,ERS4516767,1
T2,ERS4516771,1
T2,ERS4516784,1
T2,ERS4516789,1
T2,ERS4516792,1
T2,ERS4516796,1
T2,ERS4516798,1
T2,ERS4516806,1
T2,ERS4516808,1
T2,ERS4516813,1
T2,ERS4516818,1
T2,ERS4516822,1
T2,ERS4516826,1
T2,ERS4516829,1
T2,ERS4516834,1
T2,ERS4516840,1
T2,ERS4516850,1
T2,ERS4518589,1
T2,ERS4518617,1
T2,ERS4518618,1
T2,ERS4518619,1
T2,ERS4518620,1
T2,ERS4518621,1
T2,ERS4518622,1
T2,ERS4518623,1
T2,ERS4518624,1
T2,ERS4518625,1
T2,ERS4518667,1
T2,ERS4518669,1
T2,ERS4518670,1
T2,ERS4518671,1
T2,ERS4518672,1
T2,ERS4518673,1
T2,ERS4518674,1
T2,ERS4518675,1
T2,ERS4518676,1
T2,ERS4518677,1
T2,ERS4518678,1
T2,ERS4518679,1
T2,ERS4518680,1
T2,ERS4518681,1
T2,ERS4518682,1
T2,ERS4518714,1
T2,ERS4518715,1
T2,ERS4518716,1
T2,ERS4518717,1
T2,ERS4518718,1
T2,ERS4518748,1
T2,ERS4518749,1
T2,ERS4518750,1
T2,ERS4518751,1
T2,ERS4518752,1
T2,ERS4518753,1
T2,ERS4518754,1
T2,ERS4518755,1
T2,ERS4519020,1
T2,ERS4519021,1
T2,ERS4519022,1
T2,ERS4519023,1
T2,ERS4519024,1
T2,ERS4519095,1
T2,ERS4519096,1
T2,ERS4519097,1
T2,ERS4519098,1
T2,ERS4519099,1
T2,ERS4519100,1
T2,ERS4519101,1
T2,ERS4519102,1
T2,ERS4519103,1
T2,ERS4519104,1
T2,ERS4519105,1
T2,ERS4519106,1
T2,ERS4519107,1
T2,ERS4519108,1
T2,ERS4519109,1
T2,ERS4519110,1
T2,ERS4519111,1
T2,ERS4519112,1
T2,ERS4519113,1
T2,ERS4519114,1
T2,ERS4519115,1
T2,ERS4519116,1
T2,ERS4519117,1
T2,ERS4519118,1
T2,ERS4519119,1
T2,ERS4519120,1
T2,ERS4519121,1
T2,ERS4519122,1
T2,ERS4519123,1
T2,ERS4519248,1
T2,ERS4519249,1
T2,ERS4519250,1
T2,ERS4519251,1
T2,ERS4519252,1
T2,ERS4519253,1
T2,ERS4519254,1
T2,ERS4519255,1
T2,ERS4519256,1
T2,ERS4519257,1
T2,ERS4519258,1
T2,ERS4519259,1
T2,ERS4519260,1
T2,ERS4519261,1
T2,ERS4519262,1
T2,ERS4519263,1
T2,ERS4519264,1
T2,ERS4519265,1
T2,ERS4519266,1
T2,ERS4519267,1
T2,ERS4519268,1
T2,ERS4516636,0
T2,ERS4516637,0
T2,ERS4516638,0
T2,ERS4516639,0
T2,ERS4516640,0
T2,ERS4516641,0
T2,ERS4516642,0
T2,ERS4516643,0
T2,ERS4516644,0
T2,ERS4516645,0
T2,ERS4516646,0
T2,ERS4516647,0
T2,ERS4516648,0
T2,ERS4516649,0
T2,ERS4516650,0
T2,ERS4516651,0
T2,ERS4516652,0
T2,ERS4516653,0
T2,ERS4516654,0
T2,ERS4516655,0
T2,ERS4516656,0
T2,ERS4516657,0
T2,ERS4516658,0
T2,ERS4516659,0
T2,ERS4516660,0
T2,ERS4516661,0
T2,ERS4516662,0
T2,ERS4516663,0
T2,ERS4516664,0
T2,ERS4516665,0
T2,ERS4516666,0
T2,ERS4516667,0
T2,ERS4516668,0
T2,ERS4516669,0
T2,ERS4516670,0
T2,ERS4516671,0
T2,ERS4518583,0
T2,ERS4518584,0
T2,ERS4518585,0
T2,ERS4518586,0
T2,ERS4518587,0
T2,ERS4518588,0
T2,ERS4519203,0
T2,ERS4519204,0
T2,ERS4519205,0
T2,ERS4519206,0
T2,ERS4519207,0
T2,ERS4519208,0
T2,ERS4519209,0
T2,ERS4519210,0
T2,ERS4519211,0
